番号,単語,発音記号,品詞,意味,補足,例文,例文訳
1,agree,/əˈɡriː/,動詞,同意する、賛成する、意見が一致する,主に agree with 人 や agree to 提案 などの形で用います。,My cat and I finally agree on one thing: the sofa belongs to him.,うちの猫と私は、ついに一つだけ意見が一致した。ソファは彼のものだ、と。
2,oppose,/əˈpoʊz/,動詞,反対する、対抗する,他動詞のため、後ろに前置詞を挟まず直接目的語を取ります（oppose the bill）。,"The whole committee opposed my idea, so naturally I knew it was brilliant.",委員会全員が私の案に反対した。つまりこの案が天才的だと、私は確信した。
3,advise,/ədˈvaɪz/,動詞,助言する、忠告する、勧める,名詞形の advice /ədˈvaɪs/（不可算名詞）とスペル・発音の違いに注意。,"The doctor advised me to relax, which is the most stressful advice I have ever received.",医者は私にリラックスするよう助言した。人生で最もストレスのたまる助言だった。
4,tip,/tɪp/,名詞、動詞,【名】秘訣、チップ、先端<br>【動】傾ける、チップを渡す,日常会話では「役立つアドバイス、コツ」という意味でよく使われます。,"【名】""Here is a tip,"" said the waiter, spilling coffee on my laptop. ""Always back up your files.""<br>【動】He tipped his chair back too far and discovered gravity the hard way.",【名】「一つ秘訣を」とウェイターは言い、私のノートPCにコーヒーをこぼした。「ファイルは必ずバックアップしておけ」<br>【動】彼は椅子を後ろに傾けすぎ、重力というものを痛い形で発見した。
5,discuss,/dɪˈskʌs/,動詞,議論する、話し合う,他動詞なので、discuss about としないよう直後に目的語を置きます。,"We spent two hours discussing where to eat, then ate cereal at home anyway.",どこで食べるか二時間話し合った末、結局は家でシリアルを食べた。
6,blame,/bleɪm/,動詞、名詞,【動】非難する、〜のせいにする<br>【名】非難、責任,blame A for B（BのことでAを非難する）の形で頻出です。,"【動】Don't blame the dog. We both know who really ate the cake, and I am watching you.<br>【名】He accepted the blame with a shrug, mostly because arguing sounded exhausting.",【動】犬のせいにするな。誰が本当にケーキを食べたか、二人とも分かっている。見ているぞ。<br>【名】彼は肩をすくめて非難を受け入れた。反論する方が疲れそうだったからだ。
7,argue,/ˈɑːrɡjuː/,動詞,主張する、議論する、口論する,自分の主張を通すために論争する、または言い争うニュアンスを含みます。,"My brother and I can argue about anything, including whether we are actually arguing right now.",兄と私は何についてでも口論できる。今まさに口論しているかどうか、についても含めて。
8,claim,/kleɪm/,動詞、名詞,【動】主張する、要求する<br>【名】主張、請求,正当な権利として事実を主張する表現。日本語の「クレーム（苦情）」とは意味が異なります。,"【動】He claims he never sleeps in meetings, yet somehow knows nothing that was discussed.<br>【名】Her claim to the last donut was strong, but my reflexes were, tragically for her, stronger.",【動】彼は会議で絶対に寝ないと主張するが、なぜか議論された内容を何も知らない。<br>【名】最後のドーナツへの彼女の要求は強かったが、私の反射神経は、彼女には悲劇的なことに、より強かった。
9,complain,/kəmˈpleɪn/,動詞,不平を言う、不満を漏らす,complain about/of ...（〜について不満を言う）の形でよく使います。,"He came to complain about the noise, then stayed two hours to join the party.",彼は騒音に文句を言いに来たが、そのまま二時間居座ってパーティーに加わった。
10,offer,/ˈɔːfər/,動詞、名詞,【動】提供する、申し出る<br>【名】申し出、提供,offer A B（AにBを提供する）などの第4文型をとることができます。,"【動】The salesman offered me a lifetime warranty on a pen, so naturally I bought three.<br>【名】Her offer to ""just help a little"" ended with her repainting the entire kitchen.",【動】店員がペンに生涯保証を申し出たので、当然ながら私は三本買った。<br>【名】「ちょっとだけ手伝う」という彼女の申し出は、キッチン全体の塗り直しで終わった。
11,suggest,/səɡˈdʒest/,動詞,提案する、暗示する、示す,控えめに提案するニュアンス。that節内の動詞は原形（またはshould + 原形）になります。,"The waiter suggested the special, which suspiciously happened to be the most expensive dish.",ウェイターは本日のおすすめを提案したが、それは怪しいことに一番高い料理だった。
12,recommend,/ˌrekəˈmend/,動詞,勧める、推薦する,専門知識や経験に基づき「〜を勧める」場合に使います。recommend doing など。,"My friend recommended a ""quick five-minute recipe"" that somehow consumed my entire Sunday.",友人が「手軽な五分レシピ」を勧めてきたが、それはなぜか私の日曜日を丸ごと飲み込んだ。
13,grateful,/ˈɡreɪtfl/,形容詞,感謝している、ありがたく思う,be grateful to 人 for 事柄（人の事柄に感謝する）の形で使われます。,"I'm grateful for automatic doors, mostly because I always forget to push or pull correctly.",自動ドアには感謝している。押すか引くか、いつも正しく思い出せないからだ。
14,apologize,/əˈpɑːlədʒaɪz/,動詞,謝る、謝罪する,自動詞なので、apologize to 人 for 事柄（人に事柄を謝る）と前置詞が必要です。,"He apologized so sincerely for being late that I forgot he was, in fact, three hours late.",彼があまりに誠実に遅刻を謝るので、私は彼が実は三時間遅れだったことを忘れた。
15,excuse,/ɪkˈskjuːs/ (名詞)<br>/ɪkˈskjuːz/ (動詞),名詞、動詞,【名】言い訳、弁明<br>【動】許す、免除する,名詞は末尾が /s/、動詞は濁る /z/ になります。Excuse me. は「失礼します」の定番表現。,"【名】""I left my homework on the bus"" is an excuse the teacher has heard nine hundred times.<br>【動】Please excuse the mess; the cat has strong opinions about how furniture should be arranged.",【名】「宿題をバスに置いてきた」は、先生が九百回聞いた言い訳だ。<br>【動】散らかっているのはご容赦を。うちの猫は家具の配置に強いこだわりがある。
16,celebrate,/ˈselɪbreɪt/,動詞,祝う、記念式を行う,特定の日（誕生日や記念日）や行事を祝う際に使います（人を直接祝う表現ではありません）。,"We celebrated finishing the project, then immediately remembered there was a second project.",プロジェクト完了を祝った、その直後に第二のプロジェクトの存在を思い出した。
17,congratulate,/kənˈɡrætʃuleɪt/,動詞,祝う、お祝いを言う,congratulate 人 on 事柄 の形で、人の成功や幸運に対して直接お祝いを言います。,"I congratulate you on your promotion, and quietly warn you about the emails that come with it.",昇進おめでとう。そしてそれに付いてくるメールの数について、そっと警告しておく。
18,admire,/ədˈmaɪər/,動詞,感嘆する、賞賛する、敬愛する,人の才能、行為、美しさなどに深く感心し、尊敬の念を抱く場合に使われます。,I admire people who wake up at 5 a.m. to exercise; I admire them from my very warm bed.,朝五時に起きて運動する人を尊敬する。私はとても暖かいベッドの中から尊敬している。
19,impress,/ɪmˈpres/,動詞,感銘を与える、印象づける,主に受動態 be impressed by/with（〜に深く感動する）の形で頻出します。,"She tried to impress the interviewer, who was, unfortunately, impressed by absolutely nothing.",彼女は面接官を感心させようとしたが、あいにくその面接官は何にも一切感心しない人だった。
20,award,/əˈwɔːrd/,名詞、動詞,【名】賞、賞品<br>【動】授与する、賞を与える,審査等を経て公式に授与される賞（例：Academy Award）を指します。,"【名】He won an award for punctuality, then arrived late to the award ceremony itself.<br>【動】The judges decided to award the prize to the underdog, purely to enjoy the drama.",【名】彼は時間厳守で賞をもらったが、その授賞式そのものに遅刻してきた。<br>【動】審査員たちは、ただ騒動を楽しむために、賞を無名の選手に与えることに決めた。
21,explain,/ɪkˈspleɪn/,動詞,説明する、明らかにする,explain 事柄 to 人 の形で用い、explain 人 事柄 という語順は取れません。,"He tried to explain the plot of the movie, and somehow made it far more confusing.",彼は映画の筋を説明しようとして、なぜかそれをはるかに分かりにくくした。
22,describe,/dɪˈskraɪb/,動詞,（特徴などを）説明する、描写する,言葉によって対象の外観、性質、状況などを詳細に表現することを意味します。,"Asked to describe himself in one word, he took a full paragraph and still wasn't done.",一言で自分を表現するよう言われ、彼はまるまる一段落を費やし、それでもまだ終わらなかった。
23,communicate,/kəˈmjuːnɪkeɪt/,動詞,伝える、意思疎通する、連絡を取る,communicate with 人（人と意思疎通をはかる）の形でよく用いられます。,"Dogs communicate mostly through eye contact, which is how mine demands dinner at 4 p.m. sharp.",犬は主にアイコンタクトで意思疎通する。うちの犬はそうやって午後四時ぴったりに夕食を要求する。
24,express,/ɪkˈspres/,動詞、形容詞、名詞,【動】表現する、表す<br>【形】急行の、明確な<br>【名】急行列車,動詞としては、感情や意図、思想を言葉や態度で外に表すことを言います。,"【動】She struggled to express her feelings, so she just baked forty cookies instead.<br>【形】He took the express train and still managed to be late for the very short meeting.<br>【名】The overnight express arrived at dawn, carrying mail and one very confused pigeon.",【動】彼女は気持ちを表現するのに苦労し、代わりにクッキーを四十個焼いた。<br>【形】彼は急行列車に乗ったが、それでもごく短い会議に遅刻した。<br>【名】夜行の急便は夜明けに到着し、郵便物と、非常に困惑した一羽のハトを運んできた。
25,promise,/ˈpɑːmɪs/,動詞、名詞,【動】約束する<br>【名】約束、見込み、将来性,名詞として「（将来の）見込み、有望さ」という意味でも用いられます。,"【動】He promised to fix the leaky faucet ""this weekend,"" a phrase now in its third year.<br>【名】Her promise to arrive early held all the reliability of a weather forecast.",【動】彼は水漏れする蛇口を「今週末」直すと約束したが、その言葉は今や三年目に入っている。<br>【名】早く着くという彼女の約束は、天気予報ほどの信頼性しかなかった。
26,information,/ˌɪnfərˈmeɪʃn/,名詞,情報、案内、知識,代表的な不可算名詞（数えられない名詞）で、an information や複数形にはできません。,"The internet gave us all the information in the world, and also all the arguments in the world.",インターネットは世界中の情報を私たちに与え、同時に世界中の論争も与えた。
27,technology,/tekˈnɑːlədʒi/,名詞,科学技術、テクノロジー,科学的知識を工業や実用に役立てる応用技術全般を指します。,"Technology was supposed to give us more free time, which we now spend fixing the technology.",テクノロジーは私たちにもっと自由時間を与えるはずだったが、その時間は今やテクノロジーの修理に費やされている。
28,research,/rɪˈsɜːrtʃ/,名詞、動詞,【名】研究、調査<br>【動】研究する、調査する,体系的な調査・研究を指し、不可算名詞として扱われることが多いです。,"【名】Her research on sleep was excellent, though she completed most of it wide awake at 3 a.m.<br>【動】He decided to research the topic thoroughly, then read exactly one headline and called it done.",【名】睡眠に関する彼女の研究は素晴らしかったが、その大半を午前三時に目を爛々とさせて仕上げた。<br>【動】彼はそのテーマを徹底的に調べようと決め、見出しをちょうど一つ読んで完了とした。
29,material,/məˈtɪriəl/,名詞、形容詞,【名】材料、素材、資料、生地<br>【形】物質的な、具体的な,工業の原材料、衣服の生地から、講義・学習用の資料（教材）まで広く指します。,"【名】The builders ran out of material halfway up, so the second floor is technically optional.<br>【形】He insisted his happiness was not material, right before ordering the largest television made.",【名】建設業者は途中で資材を切らしたので、二階は厳密には任意ということになった。<br>【形】彼は自分の幸せは物質的なものではないと言い張った、史上最大のテレビを注文する直前に。
30,artificial,/ˌɑːrtɪˈfɪʃl/,形容詞,人工の、造り物の、不自然な,artificial intelligence（AI：人工知能）や artificial flowers などの形で使われます。,"The ""natural"" juice contained so many artificial flavors that the fruit was purely decorative.",その「天然」ジュースにはあまりに多くの人工香料が入っていて、果物は完全に飾りだった。
31,electric,/ɪˈlektrɪk/,形容詞,電気の、電動の,"電気で動く、または電気を発生するものを指します（例：electric guitar, electric car）。","The new electric car is silent, which is great until you sneak up on a very startled neighbor.",新しい電気自動車は静かだ。とても驚いた隣人に忍び寄ってしまうまでは、それは素晴らしい。
32,invent,/ɪnˈvent/,動詞,発明する、でっち上げる,今までにない新しい物や機械などを生み出すこと、また言い訳をでっち上げる意味もあります。,"He tried to invent a machine that makes coffee automatically, and invented a very expensive puddle.",彼は自動でコーヒーを淹れる機械を発明しようとして、非常に高価な水たまりを発明した。
33,discover,/dɪˈskʌvər/,動詞,発見する、知る、見つける,すでに存在していたが、まだ一般に知られていなかったものを見つけ出すことを指します。,"Scientists discover new species daily, while I discover new snacks hidden behind the old snacks.",科学者は毎日新種を発見する。一方で私は、古いおやつの後ろに隠れた新しいおやつを発見する。
34,develop,/dɪˈveləp/,動詞,開発する、発達させる、発展する,技術や地域の開発、筋肉の発達だけでなく、病気を「発症する」という意味もあります。,It takes years to develop a good habit and about four seconds to abandon it for a nap.,良い習慣を身につけるのに何年もかかり、昼寝のためにそれを捨てるのに約四秒かかる。
35,skill,/skɪl/,名詞,技術、技能、技量,訓練や経験によって習得される、特定の仕事や活動をこなす熟練した力を指します。,His main skill is looking extremely busy while doing absolutely nothing of measurable value.,彼の主な技能は、測定できる価値のあることを一切せずに、極めて忙しそうに見せることだ。
36,ability,/əˈbɪləti/,名詞,能力、才能、手腕,物事を行うための知能的・体力的な「能力」全般を指します。ability to do など。,"She has the rare ability to fall asleep instantly, especially during important explanations.",彼女には瞬時に眠りに落ちる稀な能力がある。特に重要な説明の最中に。
37,talent,/ˈtælənt/,名詞,才能、素質,生まれつき備わっている、特別な高い「天賦の才能」を指すことが多いです。,His hidden talent turned out to be finding parking spaces in a city with famously none.,彼の隠れた才能は、駐車場が皆無で有名な街で駐車スペースを見つけることだと判明した。
38,effort,/ˈefərt/,名詞,努力、骨折り、苦労,make an effort で「努力する」という必須のイディオムになります。,"He put enormous effort into avoiding effort, which itself required a surprising amount of effort.",彼は労力を避けることに多大な労力を注いだが、それ自体が驚くほどの労力を要した。
39,practice,/ˈpræktɪs/,名詞、動詞,【名】練習、実践、習慣、開業<br>【動】練習する、実践する,医師や弁護士などが事務所を「開業して活動する」という意味でも用いられます。,"【名】They say practice makes perfect, but my practice mostly makes the neighbors close their windows.<br>【動】He decided to practice the trumpet at midnight, forging an unbreakable bond of hatred with the walls.",【名】練習は完璧を作るというが、私の練習は主に近所の人に窓を閉めさせる。<br>【動】彼は真夜中にトランペットを練習することにし、壁との間に壊れない憎悪の絆を築いた。
40,achieve,/əˈtʃiːv/,動詞,達成する、成し遂げる、獲得する,努力や時間をかけ、困難を乗り越えた末に目的や目標を果たすニュアンス。,"She achieved her goal of reading fifty books, mostly by counting extremely short children's books.",彼女は五十冊読破という目標を達成したが、その大半は非常に短い絵本を数えることによってだった。
41,manage,/ˈmænɪdʒ/,動詞,管理する、経営する、何とかやり遂げる,manage to do で「何とか〜し遂げる、どうにかやりくりして〜する」となります。,"He somehow manages to burn water, which the rest of us assumed was scientifically impossible.",彼はなぜか水を焦がすことができる。それは残りの我々が科学的に不可能だと思っていたことだ。
42,improve,/ɪmˈpruːv/,動詞,改善する、向上させる、良くなる,状態、質、価値、能力などを以前より良いものに高めることを表します。,"To improve my mornings, I set nine alarms, then improve nothing by ignoring all nine.",朝を改善するために目覚ましを九個セットし、その九個全部を無視して何も改善しない。
43,produce,/prəˈduːs/ (動詞)<br>/ˈproʊduːs/ (名詞),動詞、名詞,【動】生産する、引き起こす<br>【名】農産物,名詞として使われる場合は「（野菜や果物などの）農産物」を指し、アクセントが前に置かれます。,"【動】The factory can produce a thousand toys an hour, and exactly zero that my cat will play with.<br>【名】She bought fresh produce at the market, then let it slowly become a science experiment in the fridge.",【動】その工場は一時間に千個のおもちゃを生産できるが、うちの猫が遊ぶものはちょうどゼロ個だ。<br>【名】彼女は市場で新鮮な農産物を買い、それから冷蔵庫の中でゆっくりと科学実験にさせた。
44,create,/kriˈeɪt/,動詞,創造する、作り出す,独自のアイディアや行動で、これまでにない新しい状態や形を生み出します。,"He tried to create modern art, and his cat created something far more valuable on the same canvas.",彼は現代アートを創作しようとし、彼の猫は同じキャンバスにはるかに価値あるものを創作した。
45,establish,/ɪˈstæblɪʃ/,動詞,設立する、確立する、制定する,企業、学校、制度などの組織を設けるほか、信頼や学説を確固たるものにすること。,"They established strict office rules, the very first of which everyone immediately established as optional.",彼らは厳格なオフィス規則を制定したが、その第一条を全員が即座に任意と定めた。
46,form,/fɔːrm/,名詞、動詞,【名】形、形態、用紙、書式<br>【動】形づくる、結成する,申込書などの「用紙・フォーム」という意味も非常に重要です（例：application form）。,"【名】The clouds took the form of a dragon, then a rabbit, then a very ordinary blob.<br>【動】The volunteers formed a line so orderly that a passing goose joined it out of sheer respect.",【名】雲は竜の形になり、次にウサギ、そして最後にごく普通の塊になった。<br>【動】ボランティアたちがあまりに整然と列を作ったので、通りすがりのガチョウが敬意のあまり加わった。
